iso3,country_name,lpi_score,tkm_2022,tkm_2018,tkm_change_pct,road_share_pct,rail_share_pct,iww_share_pct
FIN,Finland,4.2,30590,28345,7.92,77.0,22.5,0.5
DNK,Denmark,4.1,15162,14998,1.09,90.4,9.6,0.0
DEU,Germany,4.1,303948,316772,-4.05,72.3,21.0,6.7
CHE,Switzerland,4.1,12988,12500,3.9,66.3,33.6,0.1
NLD,Netherlands,4.1,65466,68876,-4.95,52.2,6.6,41.1
BEL,Belgium,4.0,33480,32685,2.43,76.5,12.4,11.2
SWE,Sweden,4.0,47865,43478,10.09,71.1,28.7,0.2
AUT,Austria,4.0,26830,25763,4.14,68.1,30.2,1.7
FRA,France,3.9,173353,171875,0.86,87.4,10.6,2.0
ESP,Spain,3.9,266724,238994,11.6,95.6,4.4,0.0
GRC,Greece,3.7,21182,27493,-22.95,97.7,2.3,0.0
ITA,Italy,3.7,151100,124915,20.96,87.6,12.4,0.1
NOR,Norway,3.7,24428,21338,14.48,85.5,14.5,0.0
POL,Poland,3.6,385089,315874,21.91,76.8,23.2,0.0
EST,Estonia,3.6,4540,5775,-21.39,72.7,27.3,0.0
LUX,Luxembourg,3.6,7353,6800,8.13,86.3,6.2,7.5
IRL,Ireland,3.6,12364,11600,6.59,99.3,0.7,0.0
LVA,Latvia,3.5,14581,14997,-2.77,46.8,53.2,0.0
PRT,Portugal,3.4,32039,32963,-2.8,87.7,12.3,0.0
LTU,Lithuania,3.4,53773,43590,23.36,53.6,46.4,0.1
HRV,Croatia,3.3,13659,12635,8.1,69.8,25.8,4.4
SVN,Slovenia,3.3,24308,22225,9.37,67.3,32.7,0.0
SVK,Slovakia,3.3,31488,35586,-11.52,66.9,30.4,2.6
CZE,Czechia,3.3,65794,41073,60.19,77.8,22.1,0.0
BGR,Bulgaria,3.2,35134,26950,30.37,60.5,22.9,16.6
HUN,Hungary,3.2,37444,37948,-1.33,69.8,26.6,3.5
ROU,Romania,3.2,64353,58762,9.51,54.0,25.4,20.5
